Soma simples:

Com 100 arquivos
Cada arquivo com 1000000 numeros

teste_1.txt: Tempo de duracao: 0.576000
teste_2.txt: Tempo de duracao: 0.572000
teste_3.txt: Tempo de duracao: 0.532000
teste_4.txt: Tempo de duracao: 0.571000
teste_5.txt: Tempo de duracao: 0.622000
teste_6.txt: Tempo de duracao: 0.553000
teste_7.txt: Tempo de duracao: 0.520000
teste_8.txt: Tempo de duracao: 0.500000
teste_9.txt: Tempo de duracao: 0.481000
teste_10.txt: Tempo de duracao: 0.498000
teste_11.txt: Tempo de duracao: 0.517000
teste_12.txt: Tempo de duracao: 0.493000
teste_13.txt: Tempo de duracao: 0.563000
teste_14.txt: Tempo de duracao: 0.562000
teste_15.txt: Tempo de duracao: 0.520000
teste_16.txt: Tempo de duracao: 0.526000
teste_17.txt: Tempo de duracao: 0.577000
teste_18.txt: Tempo de duracao: 0.586000
teste_19.txt: Tempo de duracao: 0.482000
teste_20.txt: Tempo de duracao: 0.505000
teste_21.txt: Tempo de duracao: 0.533000
teste_22.txt: Tempo de duracao: 0.552000
teste_23.txt: Tempo de duracao: 0.626000
teste_24.txt: Tempo de duracao: 0.580000
teste_25.txt: Tempo de duracao: 0.605000
teste_26.txt: Tempo de duracao: 0.572000
teste_27.txt: Tempo de duracao: 0.552000
teste_28.txt: Tempo de duracao: 0.633000
teste_29.txt: Tempo de duracao: 0.566000
teste_30.txt: Tempo de duracao: 0.494000
teste_31.txt: Tempo de duracao: 0.494000
teste_32.txt: Tempo de duracao: 0.482000
teste_33.txt: Tempo de duracao: 0.571000
teste_34.txt: Tempo de duracao: 0.561000
teste_35.txt: Tempo de duracao: 0.561000
teste_36.txt: Tempo de duracao: 0.561000
teste_37.txt: Tempo de duracao: 0.569000
teste_38.txt: Tempo de duracao: 0.605000
teste_39.txt: Tempo de duracao: 0.630000
teste_40.txt: Tempo de duracao: 0.579000
teste_41.txt: Tempo de duracao: 0.477000
teste_42.txt: Tempo de duracao: 0.600000
teste_43.txt: Tempo de duracao: 0.613000
teste_44.txt: Tempo de duracao: 0.568000
teste_45.txt: Tempo de duracao: 0.570000
teste_46.txt: Tempo de duracao: 0.517000
teste_47.txt: Tempo de duracao: 0.581000
teste_48.txt: Tempo de duracao: 0.483000
teste_49.txt: Tempo de duracao: 0.639000
teste_50.txt: Tempo de duracao: 0.640000
teste_51.txt: Tempo de duracao: 0.560000
teste_52.txt: Tempo de duracao: 0.567000
teste_53.txt: Tempo de duracao: 0.521000
teste_54.txt: Tempo de duracao: 0.499000
teste_55.txt: Tempo de duracao: 0.643000
teste_56.txt: Tempo de duracao: 0.562000
teste_57.txt: Tempo de duracao: 0.499000
teste_58.txt: Tempo de duracao: 0.585000
teste_59.txt: Tempo de duracao: 0.542000
teste_60.txt: Tempo de duracao: 0.566000
teste_61.txt: Tempo de duracao: 0.517000
teste_62.txt: Tempo de duracao: 0.577000
teste_63.txt: Tempo de duracao: 0.586000
teste_64.txt: Tempo de duracao: 0.615000
teste_65.txt: Tempo de duracao: 0.478000
teste_66.txt: Tempo de duracao: 0.598000
teste_67.txt: Tempo de duracao: 0.498000
teste_68.txt: Tempo de duracao: 0.564000
teste_69.txt: Tempo de duracao: 0.520000
teste_70.txt: Tempo de duracao: 0.494000
teste_71.txt: Tempo de duracao: 0.508000
teste_72.txt: Tempo de duracao: 0.541000
teste_73.txt: Tempo de duracao: 0.527000
teste_74.txt: Tempo de duracao: 0.596000
teste_75.txt: Tempo de duracao: 0.642000
teste_76.txt: Tempo de duracao: 0.583000
teste_77.txt: Tempo de duracao: 0.660000
teste_78.txt: Tempo de duracao: 0.621000
teste_79.txt: Tempo de duracao: 0.527000
teste_80.txt: Tempo de duracao: 0.575000
teste_81.txt: Tempo de duracao: 0.485000
teste_82.txt: Tempo de duracao: 0.569000
teste_83.txt: Tempo de duracao: 0.567000
teste_84.txt: Tempo de duracao: 0.555000
teste_85.txt: Tempo de duracao: 0.505000
teste_86.txt: Tempo de duracao: 0.558000
teste_87.txt: Tempo de duracao: 0.518000
teste_88.txt: Tempo de duracao: 0.539000
teste_89.txt: Tempo de duracao: 0.526000
teste_90.txt: Tempo de duracao: 0.518000
teste_91.txt: Tempo de duracao: 0.481000
teste_92.txt: Tempo de duracao: 0.518000
teste_93.txt: Tempo de duracao: 0.480000
teste_94.txt: Tempo de duracao: 0.580000
teste_95.txt: Tempo de duracao: 0.593000
teste_96.txt: Tempo de duracao: 0.643000
teste_97.txt: Tempo de duracao: 0.585000
teste_98.txt: Tempo de duracao: 0.632000
teste_99.txt: Tempo de duracao: 0.670000
teste_100.txt: Tempo de duracao: 0.647000

Tempo total de duracao: 55.710000
