Organizacao simples:

Com 100 arquivos
Cada arquivo com 1000000 numeros

teste_1.txt: Tempo de preencher: 0.637000   Tempo de organizacao: 0.064000
teste_2.txt: Tempo de preencher: 0.613000   Tempo de organizacao: 0.049000
teste_3.txt: Tempo de preencher: 0.477000   Tempo de organizacao: 0.138000
teste_4.txt: Tempo de preencher: 0.550000   Tempo de organizacao: 0.155000
teste_5.txt: Tempo de preencher: 0.498000   Tempo de organizacao: 0.138000
teste_6.txt: Tempo de preencher: 0.498000   Tempo de organizacao: 0.138000
teste_7.txt: Tempo de preencher: 0.546000   Tempo de organizacao: 0.139000
teste_8.txt: Tempo de preencher: 0.523000   Tempo de organizacao: 0.162000
teste_9.txt: Tempo de preencher: 0.513000   Tempo de organizacao: 0.164000
teste_10.txt: Tempo de preencher: 0.548000   Tempo de organizacao: 0.158000
teste_11.txt: Tempo de preencher: 0.540000   Tempo de organizacao: 0.142000
teste_12.txt: Tempo de preencher: 0.611000   Tempo de organizacao: 0.176000
teste_13.txt: Tempo de preencher: 0.540000   Tempo de organizacao: 0.192000
teste_14.txt: Tempo de preencher: 0.555000   Tempo de organizacao: 0.178000
teste_15.txt: Tempo de preencher: 0.511000   Tempo de organizacao: 0.153000
teste_16.txt: Tempo de preencher: 0.489000   Tempo de organizacao: 0.136000
teste_17.txt: Tempo de preencher: 0.578000   Tempo de organizacao: 0.144000
teste_18.txt: Tempo de preencher: 0.533000   Tempo de organizacao: 0.149000
teste_19.txt: Tempo de preencher: 0.493000   Tempo de organizacao: 0.156000
teste_20.txt: Tempo de preencher: 0.572000   Tempo de organizacao: 0.158000
teste_21.txt: Tempo de preencher: 0.528000   Tempo de organizacao: 0.142000
teste_22.txt: Tempo de preencher: 0.529000   Tempo de organizacao: 0.177000
teste_23.txt: Tempo de preencher: 0.587000   Tempo de organizacao: 0.157000
teste_24.txt: Tempo de preencher: 0.554000   Tempo de organizacao: 0.178000
teste_25.txt: Tempo de preencher: 0.512000   Tempo de organizacao: 0.142000
teste_26.txt: Tempo de preencher: 0.522000   Tempo de organizacao: 0.150000
teste_27.txt: Tempo de preencher: 0.520000   Tempo de organizacao: 0.138000
teste_28.txt: Tempo de preencher: 0.513000   Tempo de organizacao: 0.137000
teste_29.txt: Tempo de preencher: 0.539000   Tempo de organizacao: 0.143000
teste_30.txt: Tempo de preencher: 0.547000   Tempo de organizacao: 0.145000
teste_31.txt: Tempo de preencher: 0.535000   Tempo de organizacao: 0.140000
teste_32.txt: Tempo de preencher: 0.584000   Tempo de organizacao: 0.164000
teste_33.txt: Tempo de preencher: 0.497000   Tempo de organizacao: 0.142000
teste_34.txt: Tempo de preencher: 0.496000   Tempo de organizacao: 0.139000
teste_35.txt: Tempo de preencher: 0.484000   Tempo de organizacao: 0.173000
teste_36.txt: Tempo de preencher: 0.572000   Tempo de organizacao: 0.161000
teste_37.txt: Tempo de preencher: 0.485000   Tempo de organizacao: 0.138000
teste_38.txt: Tempo de preencher: 0.538000   Tempo de organizacao: 0.139000
teste_39.txt: Tempo de preencher: 0.528000   Tempo de organizacao: 0.144000
teste_40.txt: Tempo de preencher: 0.514000   Tempo de organizacao: 0.165000
teste_41.txt: Tempo de preencher: 0.535000   Tempo de organizacao: 0.137000
teste_42.txt: Tempo de preencher: 0.541000   Tempo de organizacao: 0.148000
teste_43.txt: Tempo de preencher: 0.541000   Tempo de organizacao: 0.158000
teste_44.txt: Tempo de preencher: 0.558000   Tempo de organizacao: 0.174000
teste_45.txt: Tempo de preencher: 0.567000   Tempo de organizacao: 0.176000
teste_46.txt: Tempo de preencher: 0.578000   Tempo de organizacao: 0.158000
teste_47.txt: Tempo de preencher: 0.510000   Tempo de organizacao: 0.138000
teste_48.txt: Tempo de preencher: 0.525000   Tempo de organizacao: 0.137000
teste_49.txt: Tempo de preencher: 0.477000   Tempo de organizacao: 0.140000
teste_50.txt: Tempo de preencher: 0.601000   Tempo de organizacao: 0.138000
teste_51.txt: Tempo de preencher: 0.555000   Tempo de organizacao: 0.171000
teste_52.txt: Tempo de preencher: 0.507000   Tempo de organizacao: 0.144000
teste_53.txt: Tempo de preencher: 0.562000   Tempo de organizacao: 0.153000
teste_54.txt: Tempo de preencher: 0.569000   Tempo de organizacao: 0.153000
teste_55.txt: Tempo de preencher: 0.645000   Tempo de organizacao: 0.163000
teste_56.txt: Tempo de preencher: 0.516000   Tempo de organizacao: 0.139000
teste_57.txt: Tempo de preencher: 0.478000   Tempo de organizacao: 0.159000
teste_58.txt: Tempo de preencher: 0.510000   Tempo de organizacao: 0.150000
teste_59.txt: Tempo de preencher: 0.510000   Tempo de organizacao: 0.186000
teste_60.txt: Tempo de preencher: 0.522000   Tempo de organizacao: 0.138000
teste_61.txt: Tempo de preencher: 0.574000   Tempo de organizacao: 0.156000
teste_62.txt: Tempo de preencher: 0.586000   Tempo de organizacao: 0.148000
teste_63.txt: Tempo de preencher: 0.578000   Tempo de organizacao: 0.137000
teste_64.txt: Tempo de preencher: 0.587000   Tempo de organizacao: 0.162000
teste_65.txt: Tempo de preencher: 0.590000   Tempo de organizacao: 0.138000
teste_66.txt: Tempo de preencher: 0.613000   Tempo de organizacao: 0.142000
teste_67.txt: Tempo de preencher: 0.512000   Tempo de organizacao: 0.142000
teste_68.txt: Tempo de preencher: 0.486000   Tempo de organizacao: 0.143000
teste_69.txt: Tempo de preencher: 0.556000   Tempo de organizacao: 0.152000
teste_70.txt: Tempo de preencher: 0.516000   Tempo de organizacao: 0.173000
teste_71.txt: Tempo de preencher: 0.598000   Tempo de organizacao: 0.159000
teste_72.txt: Tempo de preencher: 0.636000   Tempo de organizacao: 0.159000
teste_73.txt: Tempo de preencher: 0.487000   Tempo de organizacao: 0.136000
teste_74.txt: Tempo de preencher: 0.528000   Tempo de organizacao: 0.145000
teste_75.txt: Tempo de preencher: 0.637000   Tempo de organizacao: 0.156000
teste_76.txt: Tempo de preencher: 0.536000   Tempo de organizacao: 0.156000
teste_77.txt: Tempo de preencher: 0.500000   Tempo de organizacao: 0.137000
teste_78.txt: Tempo de preencher: 0.541000   Tempo de organizacao: 0.139000
teste_79.txt: Tempo de preencher: 0.569000   Tempo de organizacao: 0.135000
teste_80.txt: Tempo de preencher: 0.533000   Tempo de organizacao: 0.147000
teste_81.txt: Tempo de preencher: 0.497000   Tempo de organizacao: 0.173000
teste_82.txt: Tempo de preencher: 0.509000   Tempo de organizacao: 0.137000
teste_83.txt: Tempo de preencher: 0.522000   Tempo de organizacao: 0.148000
teste_84.txt: Tempo de preencher: 0.535000   Tempo de organizacao: 0.143000
teste_85.txt: Tempo de preencher: 0.495000   Tempo de organizacao: 0.138000
teste_86.txt: Tempo de preencher: 0.478000   Tempo de organizacao: 0.137000
teste_87.txt: Tempo de preencher: 0.527000   Tempo de organizacao: 0.159000
teste_88.txt: Tempo de preencher: 0.526000   Tempo de organizacao: 0.147000
teste_89.txt: Tempo de preencher: 0.555000   Tempo de organizacao: 0.137000
teste_90.txt: Tempo de preencher: 0.490000   Tempo de organizacao: 0.145000
teste_91.txt: Tempo de preencher: 0.524000   Tempo de organizacao: 0.146000
teste_92.txt: Tempo de preencher: 0.496000   Tempo de organizacao: 0.137000
teste_93.txt: Tempo de preencher: 0.484000   Tempo de organizacao: 0.182000
teste_94.txt: Tempo de preencher: 0.494000   Tempo de organizacao: 0.147000
teste_95.txt: Tempo de preencher: 0.483000   Tempo de organizacao: 0.149000
teste_96.txt: Tempo de preencher: 0.499000   Tempo de organizacao: 0.184000
teste_97.txt: Tempo de preencher: 0.509000   Tempo de organizacao: 0.144000
teste_98.txt: Tempo de preencher: 0.493000   Tempo de organizacao: 0.137000
teste_99.txt: Tempo de preencher: 0.529000   Tempo de organizacao: 0.150000
teste_100.txt: Tempo de preencher: 0.492000   Tempo de organizacao: 0.138000

Tempo total de duracao: 68.419000
