Soma multi thread tipo 1:

Com 2 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

teste_0.txt: Tempo de duracao: 0.595000
teste_0.txt: Tempo de duracao: 0.775000
teste_2.txt: Tempo de duracao: 0.636000
teste_2.txt: Tempo de duracao: 0.685000
teste_4.txt: Tempo de duracao: 0.589000
teste_4.txt: Tempo de duracao: 0.634000
teste_6.txt: Tempo de duracao: 0.617000
teste_6.txt: Tempo de duracao: 0.728000
teste_8.txt: Tempo de duracao: 0.567000
teste_8.txt: Tempo de duracao: 0.657000
teste_10.txt: Tempo de duracao: 0.679000
teste_10.txt: Tempo de duracao: 0.701000
teste_12.txt: Tempo de duracao: 0.690000
teste_12.txt: Tempo de duracao: 0.638000
teste_14.txt: Tempo de duracao: 0.660000
teste_14.txt: Tempo de duracao: 0.639000
teste_16.txt: Tempo de duracao: 0.518000
teste_16.txt: Tempo de duracao: 0.696000
teste_18.txt: Tempo de duracao: 0.582000
teste_18.txt: Tempo de duracao: 0.673000
teste_20.txt: Tempo de duracao: 0.553000
teste_20.txt: Tempo de duracao: 0.610000
teste_22.txt: Tempo de duracao: 0.532000
teste_22.txt: Tempo de duracao: 0.676000
teste_24.txt: Tempo de duracao: 0.671000
teste_24.txt: Tempo de duracao: 0.673000
teste_26.txt: Tempo de duracao: 0.702000
teste_26.txt: Tempo de duracao: 0.660000
teste_28.txt: Tempo de duracao: 0.611000
teste_28.txt: Tempo de duracao: 0.665000
teste_30.txt: Tempo de duracao: 0.690000
teste_30.txt: Tempo de duracao: 0.710000
teste_32.txt: Tempo de duracao: 0.690000
teste_32.txt: Tempo de duracao: 0.709000
teste_34.txt: Tempo de duracao: 0.564000
teste_34.txt: Tempo de duracao: 0.628000
teste_36.txt: Tempo de duracao: 0.515000
teste_36.txt: Tempo de duracao: 0.645000
teste_38.txt: Tempo de duracao: 0.691000
teste_38.txt: Tempo de duracao: 0.678000
teste_40.txt: Tempo de duracao: 0.624000
teste_40.txt: Tempo de duracao: 0.630000
teste_42.txt: Tempo de duracao: 0.580000
teste_42.txt: Tempo de duracao: 0.639000
teste_44.txt: Tempo de duracao: 0.596000
teste_44.txt: Tempo de duracao: 0.669000
teste_46.txt: Tempo de duracao: 0.673000
teste_46.txt: Tempo de duracao: 0.616000
teste_48.txt: Tempo de duracao: 0.614000
teste_48.txt: Tempo de duracao: 0.570000
teste_50.txt: Tempo de duracao: 0.611000
teste_50.txt: Tempo de duracao: 0.638000
teste_52.txt: Tempo de duracao: 0.632000
teste_52.txt: Tempo de duracao: 0.659000
teste_54.txt: Tempo de duracao: 0.673000
teste_54.txt: Tempo de duracao: 0.541000
teste_56.txt: Tempo de duracao: 0.555000
teste_56.txt: Tempo de duracao: 0.661000
teste_58.txt: Tempo de duracao: 0.684000
teste_58.txt: Tempo de duracao: 0.642000
teste_60.txt: Tempo de duracao: 0.642000
teste_60.txt: Tempo de duracao: 0.651000
teste_62.txt: Tempo de duracao: 0.660000
teste_62.txt: Tempo de duracao: 0.655000
teste_64.txt: Tempo de duracao: 0.582000
teste_64.txt: Tempo de duracao: 0.602000
teste_66.txt: Tempo de duracao: 0.584000
teste_66.txt: Tempo de duracao: 0.709000
teste_68.txt: Tempo de duracao: 0.605000
teste_68.txt: Tempo de duracao: 0.640000
teste_70.txt: Tempo de duracao: 0.666000
teste_70.txt: Tempo de duracao: 0.587000
teste_72.txt: Tempo de duracao: 0.743000
teste_72.txt: Tempo de duracao: 0.702000
teste_74.txt: Tempo de duracao: 0.579000
teste_74.txt: Tempo de duracao: 0.651000
teste_76.txt: Tempo de duracao: 0.559000
teste_76.txt: Tempo de duracao: 0.716000
teste_78.txt: Tempo de duracao: 0.676000
teste_78.txt: Tempo de duracao: 0.682000
teste_80.txt: Tempo de duracao: 0.710000
teste_80.txt: Tempo de duracao: 0.658000
teste_82.txt: Tempo de duracao: 0.632000
teste_82.txt: Tempo de duracao: 0.668000
teste_84.txt: Tempo de duracao: 0.674000
teste_84.txt: Tempo de duracao: 0.707000
teste_86.txt: Tempo de duracao: 0.654000
teste_86.txt: Tempo de duracao: 0.653000
teste_88.txt: Tempo de duracao: 0.743000
teste_88.txt: Tempo de duracao: 0.676000
teste_90.txt: Tempo de duracao: 0.641000
teste_90.txt: Tempo de duracao: 0.698000
teste_92.txt: Tempo de duracao: 0.716000
teste_92.txt: Tempo de duracao: 0.728000
teste_94.txt: Tempo de duracao: 0.626000
teste_94.txt: Tempo de duracao: 0.681000
teste_96.txt: Tempo de duracao: 0.553000
teste_96.txt: Tempo de duracao: 0.616000
teste_98.txt: Tempo de duracao: 0.704000
teste_98.txt: Tempo de duracao: 0.726000

Tempo total de duracao: 64.694000
